,Name,Developer,Link,Release_Date,Since_Release,Rating,Prices,Date_Checked,Sale_Event
91,Super Seducer 2 - Advanced Seduction Tactics,,https://steamdb.info/app/863570/,,,,,,
92,Torment: Tides of Numenera,,https://steamdb.info/app/272270/,,,,,,
93,七人杀阵 - Seven Sacrifices,,https://steamdb.info/app/885140/,,,,,,
94,Disco Elysium - The Final Cut,,https://steamdb.info/app/632470/,,,,,,
95,Halo: The Master Chief Collection,,https://steamdb.info/app/976730/,,,,,,
96,Age of Empires II: Definitive Edition,,https://steamdb.info/app/813780/,,,,,,
97,Utawarerumono: Mask of Truth,,https://steamdb.info/app/1151440/,,,,,,
98,Forager,,https://steamdb.info/app/751780/,,,,,,
99,Atomicrops,,https://steamdb.info/app/757320/,,,,,,
100,Utawarerumono: Mask of Deception,,https://steamdb.info/app/1149550/,,,,,,
101,Cloudpunk,,https://steamdb.info/app/746850/,,,,,,
102,Age of Empires III: Definitive Edition,,https://steamdb.info/app/933110/,,,,,,
103,Evil Genius 2: World Domination,,https://steamdb.info/app/700600/,,,,,,
104,Vampires' Melody,,https://steamdb.info/app/1377360/,,,,,,
105,Yakuza Kiwami 2,,https://steamdb.info/app/927380/,,,,,,
106,AVICII Invector,,https://steamdb.info/app/986800/,,,,,,
107,The Walking Dead: The Final Season,,https://steamdb.info/app/866800/,,,,,,
108,Yakuza Kiwami,,https://steamdb.info/app/834530/,,,,,,
109,Wolf Tails,,https://steamdb.info/app/822930/,,,,,,
110,Shady Part of Me,,https://steamdb.info/app/1116580/,,,,,,
111,OPUS: Rocket of Whispers,,https://steamdb.info/app/742250/,,,,,,
112,Drake Hollow,,https://steamdb.info/app/739650/,,,,,,
113,Vampire: The Masquerade - Shadows of New York,,https://steamdb.info/app/1279630/,,,,,,
114,重明鸟 Bright Bird,,https://steamdb.info/app/1007810/,,,,,,
115,INSOMNIA: The Ark,,https://steamdb.info/app/783170/,,,,,,
116,Nexomon: Extinction,,https://steamdb.info/app/1196630/,,,,,,
117,Gal*Gun 2,,https://steamdb.info/app/851890/,,,,,,
118,Knockout City™,,https://steamdb.info/app/1301210/,,,,,,
119,Embr,,https://steamdb.info/app/1062830/,,,,,,
120,TT Isle of Man Ride on the Edge 2,,https://steamdb.info/app/1082180/,,,,,,
121,TouHou Makuka Sai ~ Fantastic Danmaku Festival Part II,,https://steamdb.info/app/1031480/,,,,,,
122,Zeliria Sanctuary,,https://steamdb.info/app/855630/,,,,,,
123,Sex with Stalin,,https://steamdb.info/app/1085750/,,,,,,
124,Puyo Puyo™ Tetris® 2,,https://steamdb.info/app/1259790/,,,,,,
125,Drug Dealer Simulator,,https://steamdb.info/app/682990/,,,,,,
126,Resident Evil Village,,https://steamdb.info/app/1196590/,,,,,,
127,SCARLET NEXUS,,https://steamdb.info/app/775500/,,,,,,
128,Some Some Convenience Store,,https://steamdb.info/app/1217390/,,,,,,
129,The Jackbox Party Pack 5,,https://steamdb.info/app/774461/,,,,,,
130,Neon Abyss,,https://steamdb.info/app/788100/,,,,,,
131,Ratropolis,,https://steamdb.info/app/1108370/,,,,,,
132,Carto,,https://steamdb.info/app/1172450/,,,,,,
133,The Walking Dead: The Telltale Definitive Series,,https://steamdb.info/app/1449690/,,,,,,
134,Tangle Tower,,https://steamdb.info/app/359510/,,,,,,
135,Lacuna – A Sci-Fi Noir Adventure,,https://steamdb.info/app/1364100/,,,,,,
136,Ring of Pain,,https://steamdb.info/app/998740/,,,,,,
137,Legend Creatures(传奇生物),,https://steamdb.info/app/1191840/,,,,,,
138,Lost in Random™,,https://steamdb.info/app/1462570/,,,,,,
139,Ikenfell,,https://steamdb.info/app/854940/,,,,,,
140,月球坠落时 Moon Fall,,https://steamdb.info/app/1092400/,,,,,,
141,Five Dates,,https://steamdb.info/app/1353270/,,,,,,
142,Puyo Puyo™Tetris®,,https://steamdb.info/app/546050/,,,,,,
